training_seed,global_step,episodes,successes,collisions,mean_path_completion,mean_cross_track_rmse,mean_goal_distance,mean_return,checkpoint,checkpoint_sha256,selected
20262191,0,30,0,0,0.046923753592661016,0.14649369789274672,4.161877561479904,-614.066211673979,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262191_30k_v2/checkpoints/initial.pt,c0896f91808a27a70909bf3685e6c6fca174677bcb58b16be26285907d50d955,False
20262191,5000,30,0,0,0.6260383828270959,4.308954039274676,6.391994033288852,-192571.73679046752,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262191_30k_v2/checkpoints/step_000005000.pt,b0aa8bb6a9f4921c453c8792968b802b2ce14d617ea74c7fd84d3d8f5f046cd5,False
20262191,10000,30,0,0,0.1340294478941105,0.4800406589001972,4.028610048169582,-2356.905705357322,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262191_30k_v2/checkpoints/step_000010000.pt,833fd66d1eac3d2d1c682075fc9bf3082973c08b6e58189978689efb00e021ae,False
20262191,15000,30,0,0,0.24785982022535397,0.7473004414084741,4.206883663558309,-4233.839702477166,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262191_30k_v2/checkpoints/step_000015000.pt,811fcdbf5f641dd40831313de8282cad72d844b8cd3a3bf0f0bab185d71efc5a,False
20262191,20000,30,0,0,0.7257023141504361,3.066320653277423,5.480544230220098,-91126.13682430556,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262191_30k_v2/checkpoints/step_000020000.pt,4218cfd38602eff9d7a4b746eddc956ad64554a366cabf66ff2800b8c7e32196,False
20262191,25000,30,0,0,0.07887200636306235,0.3597522198223641,3.8800080268546653,-1418.2808242315161,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262191_30k_v2/checkpoints/step_000025000.pt,32da34d9319ffc532bf8fd38e815510cff14d872c07ce01a998ba9f5e8d888fb,False
20262191,30000,30,0,0,0.055825339744687945,0.33125640261817263,3.914027870568405,-1339.617362179692,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262191_30k_v2/checkpoints/step_000030000.pt,42778e71f75a75c83c51871dcc409783ab2cf475662636694639866e3f9e19e4,False
20262192,0,30,0,0,0.046923753592661016,0.14649369789274672,4.161877561479904,-614.066211673979,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262192_30k_v2/checkpoints/initial.pt,8c8ef195144edb0d290b40eb5b3e0db746af13a0a57caa63a4b206bcd2baaf99,False
20262192,5000,30,0,0,0.6422559119120745,2.6959266250389775,5.870202696331341,-39751.442258870076,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262192_30k_v2/checkpoints/step_000005000.pt,120059e75a9798b1b3fd10b862475fbc44cae9a739444fbc7d4e86038060feba,False
20262192,10000,30,0,0,0.3013467019409074,0.8201004885749238,4.78422658745771,-16584.13356809472,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262192_30k_v2/checkpoints/step_000010000.pt,63b1898e2df4ca8890446e0e4639f5effbb82768481d2d2ee69b34b8b6447b27,False
20262192,15000,30,0,0,0.3152078470131353,0.6428806754030519,4.563204414180247,-6891.979105429683,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262192_30k_v2/checkpoints/step_000015000.pt,c8694c747b37a8e9e78c1421d87a2abef33f99676c3113cf99821bba24f1b934,False
20262192,20000,30,0,0,0.26464425498866867,0.7530467105373031,4.040642695286201,-6633.113652410177,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262192_30k_v2/checkpoints/step_000020000.pt,bf75c8cec5ae4888d724b9cb98df5e4c6b9ba6e45cc11c6fddc4d392a6b85c2b,False
20262192,25000,30,0,0,0.18701758304149868,0.3261283297660259,4.159056008998211,-1677.5787532620857,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262192_30k_v2/checkpoints/step_000025000.pt,894341bdd14b409e2229da454e0de85bcaaad207c1f9d622ab89b2ea512fc990,False
20262192,30000,30,0,0,0.14055311349752067,0.219731507488286,4.140536772523875,-646.4273181681415,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262192_30k_v2/checkpoints/step_000030000.pt,b593c27adc6370001dbca43bd5232c9fd11271d1cafccc093cb1626ca9ab1a4b,False
20262193,0,30,0,0,0.046923753592661016,0.14649369789274672,4.161877561479904,-614.066211673979,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262193_30k_v2/checkpoints/initial.pt,c093e2d8a5feab8a86dfdafd5cdd67b765a14c6beb11e5ee1ff10a19b5772206,False
20262193,5000,30,0,0,0.0952736303644462,0.37895895131934776,4.328868676400952,-1684.1240792834901,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262193_30k_v2/checkpoints/step_000005000.pt,dcf9bea2b18f22d8d57835b1204fed1637557b23549a40f6ab5ffecee876738e,False
20262193,10000,30,1,0,0.6095409291611279,1.6520606170376515,4.183005572877757,-15224.873541903055,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l219_expanded_actor_seed20262193_30k_v2/checkpoints/step_000010000.pt,bf26a67ebac313930d63760db931e5d50704cdd9181923afd7f66d16159356b4,True
